Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S34103569,Pacific Black Duck,Anas superciliosa,418,8,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-02-2017,06:31 PM,eBird - Stationary Count,22,1,,,1
S34217575,Pacific Black Duck,Anas superciliosa,418,7,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-07-2017,04:27 PM,eBird - Stationary Count,38,1,,,1
S34254056,Pacific Black Duck,Anas superciliosa,418,6,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-09-2017,05:12 PM,eBird - Stationary Count,27,1,,,1
S34378128,Pacific Black Duck,Anas superciliosa,418,4,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-15-2017,05:20 PM,eBird - Stationary Count,35,1,,,1
S34836062,Pacific Black Duck,Anas superciliosa,418,2,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,02-27-2017,05:56 PM,eBird - Stationary Count,35,1,,,1
S34879984,Pacific Black Duck,Anas superciliosa,418,2,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,03-01-2017,12:17 PM,eBird - Traveling Count,11,1,.2,,1
S34888521,Pacific Black Duck,Anas superciliosa,418,4,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,03-01-2017,06:18 PM,eBird - Stationary Count,35,1,,,1
S35037821,Pacific Black Duck,Anas superciliosa,418,18,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,03-08-2017,05:18 PM,eBird - Stationary Count,9,1,,,1
S36082236,Pacific Black Duck,Anas superciliosa,418,2,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,04-19-2017,10:41 AM,eBird - Traveling Count,22,1,.3,,1
S36086982,Pacific Black Duck,Anas superciliosa,418,18,AU-NSW,,Kensington Ponds,-33.9032981,151.2276435,04-19-2017,04:59 PM,eBird - Stationary Count,14,1,,,1
S36087068,Pacific Black Duck,Anas superciliosa,418,2,AU-NSW,,"Moore Park, Sydney",-33.89208,151.22131,04-19-2017,05:41 PM,eBird - Casual Observation,0,0,,,1,,,Kippax Lake at dusk
S36105971,Pacific Black Duck,Anas superciliosa,418,8,AU-NSW,,"Moore Park, Sydney",-33.89208,151.22131,04-20-2017,09:30 AM,eBird - Stationary Count,7,1,,,1,,,Kippax lake
S38311411,Pacific Black Duck,Anas superciliosa,418,3,AU-NSW,,Randwick Environment Park,-33.9315125,151.2478781,07-25-2017,01:51 PM,eBird - Traveling Count,55,1,2,,1
S34166999,Pacific Black Duck,Anas superciliosa,418,X,AU-NSW,,Smiths Lake--south shore,-32.39888,152.47249,02-24-2016,10:00 AM,eBird - Casual Observation,0,0,,,1
S36190791,Pacific Black Duck,Anas superciliosa,418,8,AU-NSW,,Sydney Olympic Park--Waterbird Refuge,-33.83732,151.07839,04-23-2017,01:25 PM,eBird - Traveling Count,80,1,3,,1
S35447772,Blue-winged Teal,Anas discors,423,2,US-CA,Marin,Las Gallinas Valley Sanitary District,38.0274109,-122.515583,03-26-2017,09:14 AM,eBird - Traveling Count,90,1,2.2,,9
S35447772,Cinnamon Teal,Anas cyanoptera,426,6,US-CA,Marin,Las Gallinas Valley Sanitary District,38.0274109,-122.515583,03-26-2017,09:14 AM,eBird - Traveling Count,90,1,2.2,,9
S35501895,Cinnamon Teal,Anas cyanoptera,426,1,US-CA,Marin,Shorebird Marsh overlook,37.9335276,-122.5155401,03-28-2017,02:52 PM,eBird - Traveling Count,35,1,.6,,1
S35651135,Cinnamon Teal,Anas cyanoptera,426,2,US-CA,Santa Clara,Shoreline at Mountain View Park,37.4342153,-122.0878458,04-02-2017,06:24 AM,eBird - Traveling Count,210,1,3.5,,1
S33882090,Northern Shoveler,Anas clypeata,439,X,IN-RJ,Jodhpur,Barli Lake,26.3153438,72.9285765,03-18-2015,03:00 PM,eBird - Casual Observation,0,0,,,2
S35447772,Northern Shoveler,Anas clypeata,439,2,US-CA,Marin,Las Gallinas Valley Sanitary District,38.0274109,-122.515583,03-26-2017,09:14 AM,eBird - Traveling Count,90,1,2.2,,9
S35238044,Northern Shoveler,Anas clypeata,439,16,US-CA,Marin,Shorebird Marsh overlook,37.9335276,-122.5155401,03-17-2017,11:12 AM,eBird - Stationary Count,30,1,,,1
S35501895,Northern Shoveler,Anas clypeata,439,10,US-CA,Marin,Shorebird Marsh overlook,37.9335276,-122.5155401,03-28-2017,02:52 PM,eBird - Traveling Count,35,1,.6,,1
S35651135,Northern Shoveler,Anas clypeata,439,65,US-CA,Santa Clara,Shoreline at Mountain View Park,37.4342153,-122.0878458,04-02-2017,06:24 AM,eBird - Traveling Count,210,1,3.5,,1
S33880479,Northern Shoveler,Anas clypeata,439,X,NL-FR,,Schiermonnikoog,53.4898393,6.2111454,10-15-2016,02:00 PM,eBird - Casual Observation,0,0,,,4
S33880479,Northern Pintail,Anas acuta,446,X,NL-FR,,Schiermonnikoog,53.4898393,6.2111454,10-15-2016,02:00 PM,eBird - Casual Observation,0,0,,,4
S35447772,Green-winged Teal,Anas crecca,462,2,US-CA,Marin,Las Gallinas Valley Sanitary District,38.0274109,-122.515583,03-26-2017,09:14 AM,eBird - Traveling Count,90,1,2.2,,9
S35501895,Green-winged Teal,Anas crecca,462,12,US-CA,Marin,Shorebird Marsh overlook,37.9335276,-122.5155401,03-28-2017,02:52 PM,eBird - Traveling Count,35,1,.6,,1
S35651135,Green-winged Teal,Anas crecca,462,8,US-CA,Santa Clara,Shoreline at Mountain View Park,37.4342153,-122.0878458,04-02-2017,06:24 AM,eBird - Traveling Count,210,1,3.5,,1
S36081411,Gray Teal,Anas gracilis,481,4,AU-NSW,,"AU-Nova Gales do Sul-Queens Park-Musgrave Avenue - -33,902x151,242",-33.9015289,151.2423158,04-19-2017,10:16 AM,eBird - Stationary Count,12,1,,,1
S34078473,Gray Teal,Anas gracilis,481,4,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,02-01-2017,10:06 AM,eBird - Traveling Count,38,1,1.2,,1
S34824059,Gray Teal,Anas gracilis,481,3,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,02-27-2017,08:36 AM,eBird - Traveling Count,29,1,.2,,1
S35079695,Gray Teal,Anas gracilis,481,5,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,03-10-2017,05:25 PM,eBird - Traveling Count,85,1,1.5,,1
S35732236,Gray Teal,Anas gracilis,481,1,AU-NSW,,Centennial Park (Sydney),-33.8977058,151.2341452,04-06-2017,05:07 PM,eBird - Traveling Count,45,1,1.7,,1
