Order,Family,sp_count,obs_count,bio_count,fam
Caryophyllales,Polygonaceae (Buckwheats),77,222,19,Polygonaceae
Caudata,Plethodontidae (Lungless Salamanders),24,25,3,Plethodontidae
Caudata,Salamandridae (True Salamanders and Newts),14,27,6,Salamandridae
Celastrales,Celastraceae (No common name),21,45,13,Celastraceae
Cetacea,Delphinidae (Oceanic Dolphins),14,40,10,Delphinidae
Charadriiformes,Alcidae (Auks),10,34,8,Alcidae
Charadriiformes,Charadriidae (Plovers),46,173,30,Charadriidae
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",72,318,37,Laridae
Charadriiformes,Scolopacidae,60,468,35,Scolopacidae
Chiroptera,Vespertilionidae,45,74,7,Vespertilionidae
Ciconiiformes,Ciconiidae,16,48,16,Ciconiidae
Coleoptera,Aphodiidae,10,19,3,Aphodiidae
Coleoptera,Apionidae,16,28,3,Apionidae
Coleoptera,Buprestidae,14,16,2,Buprestidae
Coleoptera,Cantharidae,27,58,5,Cantharidae
Coleoptera,Carabidae,238,396,10,Carabidae
Coleoptera,Cerambycidae,98,175,6,Cerambycidae
Coleoptera,Chrysomelidae,67,105,5,Chrysomelidae
Coleoptera,Coccinellidae,38,125,18,Coccinellidae
Coleoptera,Curculionidae,116,201,6,Curculionidae
Coleoptera,Dytiscidae,16,30,3,Dytiscidae
Coleoptera,Elateridae,30,53,3,Elateridae
Coleoptera,Hydrophilidae,16,22,3,Hydrophilidae
Coleoptera,Latridiidae,10,15,3,Latridiidae
Coleoptera,Leiodidae,10,10,2,Leiodidae
Coleoptera,Nitidulidae,14,23,3,Nitidulidae
Coleoptera,Scarabaeidae,20,20,4,Scarabaeidae
Coleoptera,Silphidae,14,25,5,Silphidae
Coleoptera,Staphylinidae,148,245,3,Staphylinidae
Coleoptera,Tenebrionidae,13,19,3,Tenebrionidae
Collembola,Entomobryidae,12,19,3,Entomobryidae
Columbiformes,Columbidae,82,217,36,Columbidae
Coraciiformes,Alcedinidae,31,92,21,Alcedinidae
Coraciiformes,Meropidae,17,45,11,Meropidae
Cornales,Cornaceae,14,38,12,Cornaceae
Cuculiformes,Cuculidae,42,73,19,Cuculidae
Cucurbitales,Cucurbitaceae,13,29,7,Cucurbitaceae
Cypriniformes,Cyprinidae,52,93,11,Cyprinidae
Dasyuromorphia,Dasyuridae,23,23,1,Dasyuridae
Diprotodontia,Macropodidae,17,17,1,Macropodidae
Dipsacales,Adoxaceae,19,66,13,Adoxaceae
Dipsacales,Caprifoliaceae,59,145,13,Caprifoliaceae
Diptera,Anthomyiidae,16,16,1,Anthomyiidae
Diptera,Asilidae (Robber Flies),19,34,3,Asilidae
Diptera,Bombyliidae,13,19,3,Bombyliidae
Diptera,Calliphoridae,11,23,3,Calliphoridae
Diptera,Chironomidae,14,14,1,Chironomidae
Diptera,Dolichopodidae,19,36,3,Dolichopodidae
Diptera,Empididae,14,20,3,Empididae
Diptera,Hybotidae,14,17,2,Hybotidae
Diptera,Lauxaniidae,12,15,2,Lauxaniidae
Diptera,Limoniidae,45,49,2,Limoniidae
Diptera,Muscidae,34,54,4,Muscidae
Diptera,Sarcophagidae,10,13,2,Sarcophagidae
Diptera,Sciomyzidae,16,22,3,Sciomyzidae
Diptera,Stratiomyidae,24,30,3,Stratiomyidae
Diptera,Syrphidae (Flower Flies),140,303,10,Syrphidae
Diptera,Tabanidae,15,27,3,Tabanidae
Diptera,Tachinidae,44,61,3,Tachinidae
Diptera,Tephritidae,18,24,3,Tephritidae
Diptera,Tipulidae (Crane Flies),27,42,3,Tipulidae
Ephemeroptera,Baetidae,10,21,3,Baetidae
Ericales,Ericaceae,129,271,17,Ericaceae
Ericales,Polemoniaceae,17,29,7,Polemoniaceae
Ericales,Primulaceae,51,123,17,Primulaceae
Fabales,Fabaceae,420,952,30,Fabaceae
Fabales,Polygalaceae,19,32,8,Polygalaceae
Fagales,Betulaceae,27,84,14,Betulaceae
Fagales,Fagaceae,65,124,11,Fagaceae
